"Genus"	"species"	"subfamily"	"family"	"suborder"	"order"	"supraorder"	"mass"	"longevity"	"metabolism"	"maturity_F"	"maturity_M"	"gestation"
"Hyperoodon"	"ampullatus"	"??"	"Ziphiidae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	6500000	37	"NA"	3652	3287	365
"Physeter"	"catodon"	"??"	"Physeteridae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	42500000	77	"NA"	2922	3650	502
"Kogia"	"breviceps"	"??"	"Physeteridae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	424600	17	"NA"	"NA"	"NA"	335
"Eubalaena"	"australis"	"??"	"Balaenidae"	"Mysticeti"	"Cetartiodactyla"	"Laurasiatheria"	"4.5e+07"	70	"NA"	3285	"NA"	365
"Balaena"	"mysticetus"	"??"	"Balaenidae"	"Mysticeti"	"Cetartiodactyla"	"Laurasiatheria"	"1e+08"	211	"NA"	9125	9125	396
"Megaptera"	"novaeangliae"	"??"	"Balaenopteridae"	"Mysticeti"	"Cetartiodactyla"	"Laurasiatheria"	"3e+07"	95	"NA"	1643	1643	342
"Eschrichtius"	"robustus"	"??"	"Eschrichtiidae"	"Mysticeti"	"Cetartiodactyla"	"Laurasiatheria"	28500000	77	"NA"	2922	2922	395
"Balaenoptera"	"musculus"	"??"	"Balaenopteridae"	"Mysticeti"	"Cetartiodactyla"	"Laurasiatheria"	"1.36e+08"	110	"NA"	1827	1827	350
"Balaenoptera"	"acutorostrata"	"??"	"Balaenopteridae"	"Mysticeti"	"Cetartiodactyla"	"Laurasiatheria"	7500000	50	"NA"	2740	2740	312
"Presbytis"	"melalophos"	"Colobinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	6540	20	"NA"	"NA"	"NA"	"NA"
"Trachypithecus"	"obscurus"	"Colobinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	7080	33.9	"NA"	1461	"NA"	145
"Pygathrix"	"nemaeus"	"Colobinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	9720	26	"NA"	1460	"NA"	171
"Nasalis"	"larvatus"	"Colobinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	14617.5	25.1	"NA"	1460	"NA"	166
"Semnopithecus"	"entellus"	"Colobinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	13516.5	29	"NA"	1162	1886	192
