Id,Name,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species
270,,0.664225,Tachyglossidae,,Monotremata,,,NA,
271,,1.54439,,,Monotremata,,,NA,
272,Dromiciops_gliroides,1.09313,Microbiotheriidae,Dromiciops,Microbiotheria,,,NA,gliroides
273,Thylamys_elegans,1.59308,Didelphidae,Thylamys,Didelphimorphia,Didelphinae,,NA,elegans
274,Phascogale_tapoatafa,0.831919,Dasyuridae,Phascogale,Dasyuromorphia,,,193.5,tapoatafa
275,Sminthopsis_crassicaudata,0.949681,Dasyuridae,Sminthopsis,Dasyuromorphia,,,15,crassicaudata
276,,0.149962,Dasyuridae,,Dasyuromorphia,,,NA,
277,Dasyurus_hallucatus,0.956871,Dasyuridae,Dasyurus,Dasyuromorphia,,,525,hallucatus
278,,0.810518,,,Dasyuromorphia,,,NA,
279,,0.204126,,,,,,NA,
28,,0.144118,,,,,,NA,
280,Macrotis_lagotis,0.939697,Peramelidae,Macrotis,Peramelemorphia,,,NA,lagotis
281,Echymipera_rufescens_australis,0.530349,Peroryctidae,Echymipera,Peramelemorphia,,,NA,rufescens australis
282,Isoodon_macrourus,0.290035,Peramelidae,Isoodon,Peramelemorphia,,,NA,macrourus
283,Perameles_gunnii,0.378601,Peramelidae,Perameles,Peramelemorphia,,,NA,gunnii
284,,0.29308,Peramelidae,,Peramelemorphia,,,NA,
285,,0.305674,,,Peramelemorphia,,,NA,
286,,0.494293,,,Peramelemorphia,,,NA,
287,,0.0462722,,,,,,NA,
288,Pseudocheirus_peregrinus,1.04339,Pseudocheiridae,Pseudocheirus,Diprotodontia,,,850,peregrinus
289,Potorous_tridactylus,0.681581,Potoroidae,Potorous,Diprotodontia,,,1430,tridactylus
290,Lagorchestes_hirsutus,0.294719,Macropodidae,Lagorchestes,Diprotodontia,,,1310,hirsutus
291,Macropus_robustus,0.309095,Macropodidae,Macropus,Diprotodontia,,,30000,robustus
292,,0.217079,Macropodidae,,Diprotodontia,,,NA,
293,,0.0511782,,,Diprotodontia,,,NA,
294,Lagostrophus_fasciatus,0.478727,Macropodidae,Lagostrophus,Diprotodontia,,,2100,fasciatus
295,,0.488957,,,Diprotodontia,,,NA,
296,Distoechurus_pennatus,1.21639,Acrobatidae,Distoechurus,Diprotodontia,,,51.5,pennatus
297,Trichosurus_vulpecula,0.459619,Phalangeridae,Trichosurus,Diprotodontia,,,2395,vulpecula
298,Phalanger_interpositus,0.637945,Phalangeridae,Phalanger,Diprotodontia,,,NA,interpositus
299,,0.432914,Phalangeridae,,Diprotodontia,,,NA,
29,Presbytis_melalophos,0.436008,Cercopithecidae,Presbytis,Primates,Colobinae,Haplorrhini,6540,melalophos
300,Dactylopsila_trivirgata,0.877258,Dactylopsila,Dactylopsila,Diprotodontia,,,318,trivirgata
301,Petaurus_breviceps,0.966257,Petauridae,Petaurus,Diprotodontia,,,110,breviceps
302,,0.256486,,,Diprotodontia,,,NA,
303,,0.0435925,,,Diprotodontia,,,NA,
304,Tarsipes_rostratus,1.38641,Tarsipedidae,Tarsipes,Diprotodontia,,,9,rostratus
305,,0.0598273,,,Diprotodontia,,,NA,
306,,0.0601119,,,Diprotodontia,,,NA,
307,,0.0414447,,,Diprotodontia,,,NA,
308,,0.112836,,,Diprotodontia,,,NA,
309,Vombatus_ursinus,0.644609,Vombatidae,Vombatus,Diprotodontia,,,25500,ursinus
30,Trachypithecus_obscurus,0.337735,Cercopithecidae,Trachypithecus,Primates,Colobinae,Haplorrhini,7080,obscurus
310,Phascolarctos_cinereus,1.34496,Phascolarctidae,Phascolarctos,Diprotodontia,,,9300,cinereus
311,,0.314186,,,Diprotodontia,,,NA,
312,,0.23023,,,Diprotodontia,,,NA,
313,,0.0158466,,,,,,NA,
314,Notoryctes_typhlops,1.729,Notoryctidae,Notoryctes,Notoryctemorphia,,,NA,typhlops
315,,0.0584523,,,,,,NA,
316,,0.181059,,,,,,NA,
317,Caenolestes_fuliginosus,0.615914,Caenolestidae,Caenolestes,Paucituberculata,,,NA,fuliginosus
318,Rhyncholestes_raphanurus,0.613293,Caenolestidae,Rhyncholestes,Paucituberculata,,,NA,raphanurus
319,,0.74555,Caenolestidae,,Paucituberculata,,,NA,
31,Semnopithecus_entellus,0.457738,Cercopithecidae,Semnopithecus,Primates,Colobinae,Haplorrhini,13516.5,entellus
32,,0.0429795,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,
320,,0.147348,,,,,,NA,
321,Monodelphis_domestica,1.034,Didelphidae,Monodelphis,Didelphimorphia,Didelphinae,,105,domestica
322,Didelphis_virginiana,0.189558,Didelphidae,Didelphis,Didelphimorphia,Didelphinae,,3000,virginiana
323,Metachirus_nudicaudatus,0.179911,Didelphidae,Metachirus,Didelphimorphia,Didelphinae,,440,nudicaudatus
324,,0.930707,Didelphidae,,Didelphimorphia,Didelphinae,,NA,
325,,0.427327,Didelphidae,,Didelphimorphia,Didelphinae,,NA,
326,,1.11422,,,,,,NA,
327,,NA,,,,,,NA,
33,,0.0393589,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,
34,Nasalis_larvatus,0.317299,Cercopithecidae,Nasalis,Primates,Colobinae,Haplorrhini,14617.5,larvatus
